(0, 384)
(0, 416)
(32, 384)
(32, 416)
(64, 384)
(64, 416)
(96, 384)
(96, 416)
(128, 384)
(128, 416)
(160, 384)
(160, 416)
(192, 384)
(192, 416)
(224, 384)
(224, 416)
(256, 384)
(256, 416)
(288, 384)
(288, 416)
(320, 384)
(320, 416)
(352, 384)
(352, 416)
(384, 384)
(384, 416)
(416, 384)
(416, 416)
(448, 384)
(448, 416)
(480, 384)
(480, 416)
(512, 384)
(512, 416)
(544, 384)
(544, 416)
(576, 384)
(576, 416)
(608, 384)
(608, 416)
(640, 384)
(640, 416)
(672, 384)
(672, 416)
(704, 384)
(704, 416)
(736, 384)
(736, 416)
(768, 384)
(768, 416)
(800, 384)
(800, 416)
(832, 384)
(832, 416)
(864, 384)
(864, 416)
(896, 384)
(896, 416)
(928, 384)
(928, 416)
(960, 384)
(960, 416)
(992, 384)
(992, 416)
(1024, 384)
(1024, 416)
(1056, 384)
(1056, 416)
(1088, 384)
(1088, 416)
(1120, 384)
(1120, 416)
(1152, 384)
(1152, 416)
(1184, 384)
(1184, 416)
(1216, 384)
(1216, 416)
(1248, 384)
(1248, 416)
(1280, 384)
(1280, 416)
(1312, 384)
(1312, 416)
(1344, 384)
(1344, 416)
(1376, 384)
(1376, 416)
(1408, 384)
(1408, 416)
(1440, 384)
(1440, 416)
(1472, 384)
(1472, 416)
(1504, 384)
(1504, 416)
(1536, 384)
(1536, 416)
(1568, 384)
(1568, 416)
(1600, 384)
(1600, 416)
(1632, 384)
(1632, 416)
(1664, 384)
(1664, 416)
(1696, 384)
(1696, 416)
(1728, 384)
(1728, 416)
(1760, 384)
(1760, 416)
(1792, 384)
(1792, 416)
(1824, 384)
(1824, 416)
(1856, 384)
(1856, 416)
(1888, 384)
(1888, 416)
(1920, 384)
(1920, 416)
(1952, 384)
(1952, 416)
(1984, 384)
(1984, 416)
(2016, 384)
(2016, 416)
(2048, 384)
(2048, 416)
(2080, 384)
(2080, 416)
(2112, 384)
(2112, 416)
(2144, 384)
(2144, 416)
(2176, 384)
(2176, 416)
(2272, 384)
(2272, 416)
(2304, 384)
(2304, 416)
(2336, 384)
(2336, 416)
(2368, 384)
(2368, 416)
(2400, 384)
(2400, 416)
(2432, 384)
(2432, 416)
(2464, 384)
(2464, 416)
(2496, 384)
(2496, 416)
(2528, 384)
(2528, 416)
(2560, 384)
(2560, 416)
(2592, 384)
(2592, 416)
(2624, 384)
(2624, 416)
(2656, 384)
(2656, 416)
(2688, 384)
(2688, 416)
(2720, 384)
(2720, 416)
(2848, 384)
(2848, 416)
(2880, 384)
(2880, 416)
(2912, 384)
(2912, 416)
(2944, 384)
(2944, 416)
(2976, 384)
(2976, 416)
(3008, 384)
(3008, 416)
(3040, 384)
(3040, 416)
(3072, 384)
(3072, 416)
(3104, 384)
(3104, 416)
(3136, 384)
(3136, 416)
(3168, 384)
(3168, 416)
(3200, 384)
(3200, 416)
(3232, 384)
(3232, 416)
(3264, 384)
(3264, 416)
(3296, 384)
(3296, 416)
(3328, 384)
(3328, 416)
(3360, 384)
(3360, 416)
(3392, 384)
(3392, 416)
(3424, 384)
(3424, 416)
(3456, 384)
(3456, 416)
(3488, 384)
(3488, 416)
(3520, 384)
(3520, 416)
(3552, 384)
(3552, 416)
(3584, 384)
(3584, 416)
(3616, 384)
(3616, 416)
(3648, 384)
(3648, 416)
(3680, 384)
(3680, 416)
(3712, 384)
(3712, 416)
(3744, 384)
(3744, 416)
(3776, 384)
(3776, 416)
(3808, 384)
(3808, 416)
(3840, 384)
(3840, 416)
(3872, 384)
(3872, 416)
(3904, 384)
(3904, 416)
(3936, 384)
(3936, 416)
(3968, 384)
(3968, 416)
(4000, 384)
(4000, 416)
(4032, 384)
(4032, 416)
(4064, 384)
(4064, 416)
(4096, 384)
(4096, 416)
(4128, 384)
(4128, 416)
(4160, 384)
(4160, 416)
(4192, 384)
(4192, 416)
(4224, 384)
(4224, 416)
(4256, 384)
(4256, 416)
(4288, 384)
(4288, 416)
(4320, 384)
(4320, 416)
(4352, 384)
(4352, 416)
(4384, 384)
(4384, 416)
(4416, 384)
(4416, 416)
(4448, 384)
(4448, 416)
(4480, 384)
(4480, 416)
(4512, 384)
(4512, 416)
(4544, 384)
(4544, 416)
(4576, 384)
(4576, 416)
(4608, 384)
(4608, 416)
(4640, 384)
(4640, 416)
(4672, 384)
(4672, 416)
(4704, 384)
(4704, 416)
(4736, 384)
(4736, 416)
(4768, 384)
(4768, 416)
(4800, 384)
(4800, 416)
(4832, 384)
(4832, 416)
(4864, 384)
(4864, 416)
(4960, 384)
(4960, 416)
(4992, 384)
(4992, 416)
(5024, 384)
(5024, 416)
(5056, 384)
(5056, 416)
(5088, 384)
(5088, 416)
(5120, 384)
(5120, 416)
(5152, 384)
(5152, 416)
